time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
29.000,9,3,38,2,37,0,0,a3,-17.87,-13.76,0.00,3.00,1,1,49.961199,19.638143,0.0,static,11.2,14.6,
29.000,19,49,3,48,2,0,0,a3,-16.55,-11.82,0.00,23.00,0,0,55.111534,32.880510,0.0,static,13.7,13.4,LowSINR
30.000,31,2,38,1,37,0,0,a3,-2.83,0.99,0.00,7.00,1,1,42.112369,5.702991,0.5,pedestrian,35.1,33.3,
32.000,19,49,3,48,2,0,0,a3,-18.85,-14.47,0.00,26.00,1,0,55.111534,32.880510,0.0,static,13.5,13.2,
34.000,15,2,39,1,38,0,0,a3,-16.84,-13.54,0.00,19.00,1,0,26.818636,-11.606895,20.6,vehicular,17.5,14.4,
37.000,33,2,38,1,37,0,0,a3,-3.53,0.90,0.00,12.00,1,0,39.432590,-3.521291,0.0,static,42.0,38.3,
38.000,15,39,2,38,1,0,0,a3,-19.38,-15.81,0.00,4.00,0,1,26.819185,-11.607451,20.6,vehicular,14.1,17.3,LowSINR
38.000,31,38,2,37,1,0,0,a3,-3.48,1.70,0.00,8.00,1,1,42.112334,5.703003,0.5,pedestrian,34.4,37.0,
39.000,13,38,2,37,1,0,0,a3,-16.24,-12.75,0.00,35.00,0,0,47.663687,16.844935,77.4,hst,17.8,13.2,LowSINR
40.000,31,2,38,1,37,0,0,a3,-1.18,2.44,0.00,2.00,1,1,42.112325,5.703006,0.5,pedestrian,37.4,34.6,
41.000,31,38,2,37,1,0,0,a3,-3.13,1.08,0.00,1.00,1,1,42.112321,5.703007,0.5,pedestrian,34.7,37.7,
44.000,19,3,49,2,48,0,0,a3,-17.37,-13.96,0.00,12.00,1,0,55.111534,32.880510,0.0,static,12.7,12.7,
44.000,31,2,38,1,37,0,0,a3,-3.54,0.11,0.00,3.00,1,1,42.112307,5.703011,0.5,pedestrian,38.4,35.1,
45.000,15,39,2,38,1,0,0,a3,-15.89,-11.87,0.00,11.00,1,0,26.820146,-11.608423,20.6,vehicular,13.5,16.8,
45.000,19,49,3,48,2,0,0,a3,-19.40,-16.21,0.00,1.00,1,1,55.111534,32.880510,0.0,static,12.6,12.6,
46.000,45,2,38,1,37,0,0,a3,-16.57,-12.36,0.00,1046.00,0,0,31.677812,-18.553210,1.5,pedestrian,11.3,10.4,LowSINR
47.000,8,38,3,37,2,0,0,a3,-6.94,-3.32,0.00,18.00,1,0,56.332579,4.752331,0.0,static,24.0,23.3,
48.000,31,38,2,37,1,0,0,a3,-3.41,0.43,0.00,4.00,1,1,42.112290,5.703017,0.5,pedestrian,35.6,39.4,
48.000,44,38,3,37,2,0,0,a3,-9.71,-4.07,0.00,1048.00,1,0,55.288182,3.873761,82.0,hst,27.1,20.5,
50.000,44,3,38,2,37,0,0,a3,-12.91,-8.32,0.00,2.00,0,1,55.289601,3.874458,82.0,hst,20.2,26.8,LowSINR
51.000,15,2,39,1,38,0,0,a3,-16.40,-13.07,0.00,6.00,1,1,26.820970,-11.609257,20.6,vehicular,16.4,13.0,
52.000,13,38,2,37,1,0,0,a3,-16.37,-13.32,0.00,48.00,1,0,47.672528,16.847743,77.4,hst,17.5,14.3,
52.000,44,3,38,2,37,0,0,a3,-14.12,-5.53,0.00,4.00,1,1,55.291020,3.875156,82.0,hst,19.9,26.5,
53.000,33,38,2,37,1,0,0,a3,-2.07,0.95,0.00,16.00,1,0,39.432590,-3.521291,0.0,static,42.8,45.2,
54.000,13,2,38,1,37,0,0,a3,-16.17,-7.83,0.00,2.00,0,1,47.673889,16.848175,77.4,hst,14.4,17.5,MarginalSINR
54.000,33,2,38,1,37,0,0,a3,-4.28,-1.11,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,45.4,43.1,
54.000,45,2,38,1,37,0,0,a3,-17.83,-14.43,0.00,1054.00,0,0,31.677769,-18.553092,1.5,pedestrian,11.2,10.9,LowSINR
55.000,8,3,38,2,37,0,0,a3,-10.90,-7.49,0.00,8.00,1,1,56.332579,4.752331,0.0,static,22.1,22.9,
55.000,33,38,2,37,1,0,0,a3,-3.81,0.76,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,43.4,45.6,
56.000,13,2,38,1,37,0,0,a3,-17.95,-14.74,0.00,4.00,0,1,47.675249,16.848607,77.4,hst,14.6,17.4,LowSINR
57.000,0,3,48,2,47,0,0,a3,-8.96,-5.68,0.00,1057.00,1,0,64.887392,35.953442,0.0,static,25.0,20.0,
57.000,33,2,38,1,37,0,0,a3,0.34,3.76,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,46.0,44.0,
57.000,45,2,38,1,37,0,0,a3,-17.97,-12.16,0.00,1057.00,0,0,31.677753,-18.553048,1.5,pedestrian,11.2,11.1,LowSINR
