time_s,sat_id,lat,lon,altitude_km,velocity_mps
0.000,0,0.000000,0.000000,780.0,6652
0.000,1,32.654643,2.310804,780.0,6652
0.000,2,65.208138,7.828630,780.0,6652
0.000,3,81.066137,156.408257,780.0,6652
0.000,4,48.960602,175.855356,780.0,6652
0.000,5,16.330442,178.943760,780.0,6652
0.000,6,-16.330442,-178.943760,780.0,6652
0.000,7,-48.960602,-175.855356,780.0,6652
0.000,8,-81.066137,-156.408257,780.0,6652
0.000,9,-65.208138,-7.828630,780.0,6652
0.000,10,-32.654643,-2.310804,780.0,6652
0.000,11,0.000000,60.000000,780.0,6652
0.000,12,32.654643,62.310804,780.0,6652
0.000,13,65.208138,67.828630,780.0,6652
0.000,14,81.066137,-143.591743,780.0,6652
0.000,15,48.960602,-124.144644,780.0,6652
0.000,16,16.330442,-121.056240,780.0,6652
0.000,17,-16.330442,-118.943760,780.0,6652
0.000,18,-48.960602,-115.855356,780.0,6652
0.000,19,-81.066137,-96.408257,780.0,6652
0.000,20,-65.208138,52.171370,780.0,6652
0.000,21,-32.654643,57.689196,780.0,6652
0.000,22,0.000000,120.000000,780.0,6652
0.000,23,32.654643,122.310804,780.0,6652
0.000,24,65.208138,127.828630,780.0,6652
0.000,25,81.066137,-83.591743,780.0,6652
0.000,26,48.960602,-64.144644,780.0,6652
0.000,27,16.330442,-61.056240,780.0,6652
0.000,28,-16.330442,-58.943760,780.0,6652
0.000,29,-48.960602,-55.855356,780.0,6652
0.000,30,-81.066137,-36.408257,780.0,6652
0.000,31,-65.208138,112.171370,780.0,6652
0.000,32,-32.654643,117.689196,780.0,6652
0.000,33,0.000000,-180.000000,780.0,6652
0.000,34,32.654643,-177.689196,780.0,6652
0.000,35,65.208138,-172.171370,780.0,6652
0.000,36,81.066137,-23.591743,780.0,6652
0.000,37,48.960602,-4.144644,780.0,6652
0.000,38,16.330442,-1.056240,780.0,6652
0.000,39,-16.330442,1.056240,780.0,6652
0.000,40,-48.960602,4.144644,780.0,6652
0.000,41,-81.066137,23.591743,780.0,6652
0.000,42,-65.208138,172.171370,780.0,6652
0.000,43,-32.654643,177.689196,780.0,6652
0.000,44,0.000000,-120.000000,780.0,6652
0.000,45,32.654643,-117.689196,780.0,6652
0.000,46,65.208138,-112.171370,780.0,6652
0.000,47,81.066137,36.408257,780.0,6652
0.000,48,48.960602,55.855356,780.0,6652
0.000,49,16.330442,58.943760,780.0,6652
0.000,50,-16.330442,61.056240,780.0,6652
0.000,51,-48.960602,64.144644,780.0,6652
0.000,52,-81.066137,83.591743,780.0,6652
0.000,53,-65.208138,-127.828630,780.0,6652
0.000,54,-32.654643,-122.310804,780.0,6652
0.000,55,0.000000,-60.000000,780.0,6652
0.000,56,32.654643,-57.689196,780.0,6652
0.000,57,65.208138,-52.171370,780.0,6652
0.000,58,81.066137,96.408257,780.0,6652
0.000,59,48.960602,115.855356,780.0,6652
0.000,60,16.330442,118.943760,780.0,6652
0.000,61,-16.330442,121.056240,780.0,6652
0.000,62,-48.960602,124.144644,780.0,6652
0.000,63,-81.066137,143.591743,780.0,6652
0.000,64,-65.208138,-67.828630,780.0,6652
0.000,65,-32.654643,-62.310804,780.0,6652
2.000,0,0.119403,-0.000844,780.0,6652
2.000,1,32.773948,2.313059,780.0,6652
2.000,2,65.326421,7.863189,780.0,6652
2.000,3,80.956585,156.707657,780.0,6652
2.000,4,48.841510,175.864384,780.0,6652
2.000,5,16.211059,178.943556,780.0,6652
2.000,6,-16.449824,-178.943954,780.0,6652
2.000,7,-49.079691,-175.846245,780.0,6652
2.000,8,-81.175428,-156.101287,780.0,6652
2.000,9,-65.089842,-7.794453,780.0,6652
2.000,10,-32.535337,-2.308577,780.0,6652
2.000,11,0.119403,59.999156,780.0,6652
2.000,12,32.773948,62.313059,780.0,6652
2.000,13,65.326421,67.863189,780.0,6652
2.000,14,80.956585,-143.292343,780.0,6652
2.000,15,48.841510,-124.135616,780.0,6652
2.000,16,16.211059,-121.056444,780.0,6652
2.000,17,-16.449824,-118.943954,780.0,6652
2.000,18,-49.079691,-115.846245,780.0,6652
2.000,19,-81.175428,-96.101287,780.0,6652
2.000,20,-65.089842,52.205547,780.0,6652
2.000,21,-32.535337,57.691423,780.0,6652
2.000,22,0.119403,119.999156,780.0,6652
2.000,23,32.773948,122.313059,780.0,6652
2.000,24,65.326421,127.863189,780.0,6652
2.000,25,80.956585,-83.292343,780.0,6652
2.000,26,48.841510,-64.135616,780.0,6652
2.000,27,16.211059,-61.056444,780.0,6652
2.000,28,-16.449824,-58.943954,780.0,6652
2.000,29,-49.079691,-55.846245,780.0,6652
2.000,30,-81.175428,-36.101287,780.0,6652
2.000,31,-65.089842,112.205547,780.0,6652
2.000,32,-32.535337,117.691423,780.0,6652
2.000,33,0.119403,179.999156,780.0,6652
2.000,34,32.773948,-177.686941,780.0,6652
2.000,35,65.326421,-172.136811,780.0,6652
2.000,36,80.956585,-23.292343,780.0,6652
2.000,37,48.841510,-4.135616,780.0,6652
2.000,38,16.211059,-1.056444,780.0,6652
2.000,39,-16.449824,1.056046,780.0,6652
2.000,40,-49.079691,4.153755,780.0,6652
2.000,41,-81.175428,23.898713,780.0,6652
2.000,42,-65.089842,172.205547,780.0,6652
2.000,43,-32.535337,177.691423,780.0,6652
2.000,44,0.119403,-120.000844,780.0,6652
2.000,45,32.773948,-117.686941,780.0,6652
2.000,46,65.326421,-112.136811,780.0,6652
2.000,47,80.956585,36.707657,780.0,6652
2.000,48,48.841510,55.864384,780.0,6652
2.000,49,16.211059,58.943556,780.0,6652
2.000,50,-16.449824,61.056046,780.0,6652
2.000,51,-49.079691,64.153755,780.0,6652
2.000,52,-81.175428,83.898713,780.0,6652
2.000,53,-65.089842,-127.794453,780.0,6652
2.000,54,-32.535337,-122.308577,780.0,6652
2.000,55,0.119403,-60.000844,780.0,6652
2.000,56,32.773948,-57.686941,780.0,6652
2.000,57,65.326421,-52.136811,780.0,6652
2.000,58,80.956585,96.707657,780.0,6652
2.000,59,48.841510,115.864384,780.0,6652
2.000,60,16.211059,118.943556,780.0,6652
2.000,61,-16.449824,121.056046,780.0,6652
2.000,62,-49.079691,124.153755,780.0,6652
2.000,63,-81.175428,143.898713,780.0,6652
2.000,64,-65.089842,-67.794453,780.0,6652
2.000,65,-32.535337,-62.308577,780.0,6652
4.000,0,0.238805,-0.001688,780.0,6652
4.000,1,32.893252,2.315343,780.0,6652
4.000,2,65.444693,7.898136,780.0,6652
4.000,3,80.846784,156.999742,780.0,6652
4.000,4,48.722416,175.873330,780.0,6652
4.000,5,16.091677,178.943342,780.0,6652
4.000,6,-16.569206,-178.944138,780.0,6652
4.000,7,-49.198777,-175.837049,780.0,6652
4.000,8,-81.284450,-155.786483,780.0,6652
4.000,9,-64.971534,-7.760652,780.0,6652
4.000,10,-32.416030,-2.306377,780.0,6652
4.000,11,0.238805,59.998312,780.0,6652
4.000,12,32.893252,62.315343,780.0,6652
4.000,13,65.444693,67.898136,780.0,6652
4.000,14,80.846784,-143.000258,780.0,6652
4.000,15,48.722416,-124.126670,780.0,6652
4.000,16,16.091677,-121.056658,780.0,6652
4.000,17,-16.569206,-118.944138,780.0,6652
4.000,18,-49.198777,-115.837049,780.0,6652
4.000,19,-81.284450,-95.786483,780.0,6652
4.000,20,-64.971534,52.239348,780.0,6652
4.000,21,-32.416030,57.693623,780.0,6652
4.000,22,0.238805,119.998312,780.0,6652
4.000,23,32.893252,122.315343,780.0,6652
4.000,24,65.444693,127.898136,780.0,6652
4.000,25,80.846784,-83.000258,780.0,6652
4.000,26,48.722416,-64.126670,780.0,6652
4.000,27,16.091677,-61.056658,780.0,6652
4.000,28,-16.569206,-58.944138,780.0,6652
4.000,29,-49.198777,-55.837049,780.0,6652
4.000,30,-81.284450,-35.786483,780.0,6652
4.000,31,-64.971534,112.239348,780.0,6652
4.000,32,-32.416030,117.693623,780.0,6652
4.000,33,0.238805,179.998312,780.0,6652
4.000,34,32.893252,-177.684657,780.0,6652
4.000,35,65.444693,-172.101864,780.0,6652
4.000,36,80.846784,-23.000258,780.0,6652
4.000,37,48.722416,-4.126670,780.0,6652
4.000,38,16.091677,-1.056658,780.0,6652
4.000,39,-16.569206,1.055862,780.0,6652
4.000,40,-49.198777,4.162951,780.0,6652
4.000,41,-81.284450,24.213517,780.0,6652
4.000,42,-64.971534,172.239348,780.0,6652
4.000,43,-32.416030,177.693623,780.0,6652
4.000,44,0.238805,-120.001688,780.0,6652
4.000,45,32.893252,-117.684657,780.0,6652
4.000,46,65.444693,-112.101864,780.0,6652
4.000,47,80.846784,36.999742,780.0,6652
4.000,48,48.722416,55.873330,780.0,6652
4.000,49,16.091677,58.943342,780.0,6652
4.000,50,-16.569206,61.055862,780.0,6652
4.000,51,-49.198777,64.162951,780.0,6652
4.000,52,-81.284450,84.213517,780.0,6652
4.000,53,-64.971534,-127.760652,780.0,6652
4.000,54,-32.416030,-122.306377,780.0,6652
4.000,55,0.238805,-60.001688,780.0,6652
4.000,56,32.893252,-57.684657,780.0,6652
4.000,57,65.444693,-52.101864,780.0,6652
4.000,58,80.846784,96.999742,780.0,6652
4.000,59,48.722416,115.873330,780.0,6652
4.000,60,16.091677,118.943342,780.0,6652
4.000,61,-16.569206,121.055862,780.0,6652
4.000,62,-49.198777,124.162951,780.0,6652
4.000,63,-81.284450,144.213517,780.0,6652
4.000,64,-64.971534,-67.760652,780.0,6652
4.000,65,-32.416030,-62.306377,780.0,6652
6.000,0,0.358208,-0.002532,780.0,6652
6.000,1,33.012555,2.317656,780.0,6652
6.000,2,65.562951,7.933476,780.0,6652
6.000,3,80.736740,157.284757,780.0,6652
6.000,4,48.603319,175.882194,780.0,6652
6.000,5,15.972294,178.943118,780.0,6652
6.000,6,-16.688587,-178.944312,780.0,6652
6.000,7,-49.317861,-175.827769,780.0,6652
6.000,8,-81.393192,-155.463565,780.0,6652
6.000,9,-64.853215,-7.727222,780.0,6652
6.000,10,-32.296723,-2.304206,780.0,6652
6.000,11,0.358208,59.997468,780.0,6652
6.000,12,33.012555,62.317656,780.0,6652
6.000,13,65.562951,67.933476,780.0,6652
6.000,14,80.736740,-142.715243,780.0,6652
6.000,15,48.603319,-124.117806,780.0,6652
6.000,16,15.972294,-121.056882,780.0,6652
6.000,17,-16.688587,-118.944312,780.0,6652
6.000,18,-49.317861,-115.827769,780.0,6652
6.000,19,-81.393192,-95.463565,780.0,6652
6.000,20,-64.853215,52.272778,780.0,6652
6.000,21,-32.296723,57.695794,780.0,6652
6.000,22,0.358208,119.997468,780.0,6652
6.000,23,33.012555,122.317656,780.0,6652
6.000,24,65.562951,127.933476,780.0,6652
6.000,25,80.736740,-82.715243,780.0,6652
6.000,26,48.603319,-64.117806,780.0,6652
6.000,27,15.972294,-61.056882,780.0,6652
6.000,28,-16.688587,-58.944312,780.0,6652
6.000,29,-49.317861,-55.827769,780.0,6652
6.000,30,-81.393192,-35.463565,780.0,6652
6.000,31,-64.853215,112.272778,780.0,6652
6.000,32,-32.296723,117.695794,780.0,6652
6.000,33,0.358208,179.997468,780.0,6652
6.000,34,33.012555,-177.682344,780.0,6652
6.000,35,65.562951,-172.066524,780.0,6652
6.000,36,80.736740,-22.715243,780.0,6652
6.000,37,48.603319,-4.117806,780.0,6652
6.000,38,15.972294,-1.056882,780.0,6652
6.000,39,-16.688587,1.055688,780.0,6652
6.000,40,-49.317861,4.172231,780.0,6652
6.000,41,-81.393192,24.536435,780.0,6652
6.000,42,-64.853215,172.272778,780.0,6652
6.000,43,-32.296723,177.695794,780.0,6652
6.000,44,0.358208,-120.002532,780.0,6652
6.000,45,33.012555,-117.682344,780.0,6652
6.000,46,65.562951,-112.066524,780.0,6652
6.000,47,80.736740,37.284757,780.0,6652
6.000,48,48.603319,55.882194,780.0,6652
6.000,49,15.972294,58.943118,780.0,6652
6.000,50,-16.688587,61.055688,780.0,6652
6.000,51,-49.317861,64.172231,780.0,6652
6.000,52,-81.393192,84.536435,780.0,6652
6.000,53,-64.853215,-127.727222,780.0,6652
6.000,54,-32.296723,-122.304206,780.0,6652
6.000,55,0.358208,-60.002532,780.0,6652
6.000,56,33.012555,-57.682344,780.0,6652
6.000,57,65.562951,-52.066524,780.0,6652
6.000,58,80.736740,97.284757,780.0,6652
6.000,59,48.603319,115.882194,780.0,6652
6.000,60,15.972294,118.943118,780.0,6652
6.000,61,-16.688587,121.055688,780.0,6652
6.000,62,-49.317861,124.172231,780.0,6652
6.000,63,-81.393192,144.536435,780.0,6652
6.000,64,-64.853215,-67.727222,780.0,6652
6.000,65,-32.296723,-62.304206,780.0,6652
