time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
21.000,27,2,39,1,38,0,0,time,-5.30,-13.23,0.00,1021.00,1,0,29.085409,-2.676930,0.0,static,42.5,18.0,
22.000,17,38,2,37,1,0,0,time,-5.54,-14.46,0.00,1022.00,1,0,51.096701,1.683344,32.8,vehicular,49.9,12.4,
22.000,20,38,2,37,1,0,0,time,-8.02,-15.05,0.00,1022.00,0,0,44.921661,-15.567580,21.3,vehicular,33.9,11.7,LowSINR
25.000,43,38,3,37,2,0,0,time,-5.49,-10.10,0.00,1025.00,0,0,54.471563,-10.086999,28.5,vehicular,35.7,16.0,LowSINR
26.000,20,38,2,37,1,0,0,time,-5.43,-16.81,0.00,1026.00,1,0,44.921191,-15.566728,21.3,vehicular,34.1,11.9,
26.000,42,3,38,2,37,0,0,time,-5.90,-11.96,0.00,1026.00,1,0,58.585859,17.398509,2.1,pedestrian,31.2,12.7,
27.000,1,3,37,2,36,0,0,time,-5.01,-13.20,0.00,1027.00,1,0,64.962098,-5.835407,2.3,pedestrian,44.4,15.9,
27.000,22,38,3,37,2,0,0,time,-5.45,-12.26,0.00,1027.00,1,0,55.908274,-10.832968,20.2,vehicular,29.9,17.9,
28.000,16,38,2,37,1,0,0,time,-5.55,-9.01,0.00,1028.00,1,0,46.624558,6.876312,27.6,vehicular,37.8,20.9,
28.000,35,38,3,37,2,0,0,time,-5.68,-14.93,0.00,1028.00,0,0,54.638222,-2.079185,0.0,static,37.8,19.9,LowSINR
32.000,40,38,3,37,2,0,0,time,-7.22,-14.00,0.00,1032.00,0,0,55.569665,-7.235978,0.0,static,32.6,18.9,LowSINR
33.000,43,38,3,37,2,0,0,time,-5.38,-13.10,0.00,1033.00,1,0,54.471288,-10.090496,28.5,vehicular,33.9,15.3,
35.000,4,3,14,2,13,0,0,time,-5.97,-16.74,0.00,1035.00,0,0,62.574845,26.717291,36.1,vehicular,31.8,11.1,LowSINR
35.000,40,38,3,37,2,0,0,time,-5.55,-12.67,0.00,1035.00,1,0,55.569665,-7.235978,0.0,static,32.0,18.5,
38.000,35,38,3,37,2,0,0,time,-5.67,-12.04,0.00,1038.00,1,0,54.638222,-2.079185,0.0,static,35.4,18.7,
39.000,24,38,2,37,1,0,0,time,-5.18,-13.95,0.00,1039.00,0,0,47.052664,-15.794724,1.2,pedestrian,35.2,10.7,LowSINR
40.000,45,2,38,1,37,0,0,time,-11.47,-14.43,0.00,1040.00,0,0,31.677844,-18.553299,1.5,pedestrian,11.4,10.0,LowSINR
41.000,45,2,38,1,37,0,0,time,-19.81,-18.65,0.00,1041.00,1,0,31.677839,-18.553284,1.5,pedestrian,11.4,10.1,
44.000,24,38,2,37,1,0,0,time,-6.19,-15.27,0.00,1044.00,0,0,47.052622,-15.794676,1.2,pedestrian,35.0,11.1,LowSINR
46.000,0,14,3,13,2,0,0,time,-9.69,-7.93,0.00,46.00,0,0,64.887392,35.953442,0.0,static,19.7,24.8,MarginalSINR
46.000,2,14,3,13,2,0,0,time,-16.65,-7.79,0.00,46.00,1,0,62.420218,30.779916,3.5,pedestrian,13.4,26.3,
46.000,8,38,3,37,2,0,0,time,-7.44,-6.18,0.00,46.00,0,0,56.332579,4.752331,0.0,static,24.1,23.4,MarginalSINR
46.000,13,3,38,2,37,0,0,time,-100.00,-9.31,0.00,46.00,0,0,47.668448,16.846447,77.4,hst,0.0,17.7,LowSINR
46.000,15,39,2,38,1,0,0,time,-12.82,-13.40,0.00,46.00,1,0,26.820284,-11.608562,20.6,vehicular,13.4,16.7,
46.000,18,3,38,2,37,0,0,time,-13.03,-12.73,0.00,46.00,0,0,52.607837,18.866012,1.7,pedestrian,14.2,14.2,LowSINR
46.000,19,49,3,48,2,0,0,time,-14.61,-15.79,0.00,46.00,0,0,55.111534,32.880510,0.0,static,12.5,12.6,LowSINR
47.000,0,14,3,13,2,0,0,time,-10.65,-6.50,0.00,47.00,1,0,64.887392,35.953442,0.0,static,19.7,24.9,
47.000,8,38,3,37,2,0,0,time,-11.45,-10.79,0.00,47.00,0,0,56.332579,4.752331,0.0,static,24.0,23.3,LowSINR
47.000,13,3,38,2,37,0,0,time,-100.00,-13.04,0.00,47.00,1,0,47.669128,16.846663,77.4,hst,0.0,17.7,
47.000,18,3,38,2,37,0,0,time,-18.45,-15.72,0.00,47.00,0,0,52.607829,18.866034,1.7,pedestrian,14.1,14.1,LowSINR
47.000,19,49,3,48,2,0,0,time,-11.18,-14.58,0.00,47.00,1,0,55.111534,32.880510,0.0,static,12.5,12.6,
47.000,34,39,2,38,1,0,0,time,-100.00,-6.84,0.00,46.00,0,0,31.118917,-10.293173,79.9,hst,0.0,24.2,MarginalSINR
47.000,41,39,2,38,1,0,0,time,-17.00,-8.87,0.00,46.00,1,0,28.816836,-10.267245,0.9,pedestrian,11.8,21.3,
48.000,8,38,3,37,2,0,0,time,-5.47,-11.66,0.00,48.00,1,0,56.332579,4.752331,0.0,static,23.9,23.1,
48.000,18,3,38,2,37,0,0,time,-13.10,-15.05,0.00,48.00,0,0,52.607822,18.866056,1.7,pedestrian,14.0,14.1,LowSINR
48.000,31,2,38,1,37,0,0,time,-3.94,0.06,0.00,48.00,1,0,42.112290,5.703017,0.5,pedestrian,39.4,35.6,
48.000,34,39,2,38,1,0,0,time,-100.00,-7.99,0.00,47.00,1,0,31.119613,-10.292970,79.9,hst,0.0,24.2,
48.000,36,48,3,47,2,0,0,time,-12.52,-3.54,0.00,46.00,1,0,64.284351,33.589537,33.0,vehicular,17.5,26.5,
49.000,18,3,38,2,37,0,0,time,-14.20,-13.70,0.00,49.00,1,0,52.607815,18.866079,1.7,pedestrian,13.9,14.0,
52.000,11,2,38,1,37,0,0,time,-16.19,-1.06,0.00,46.00,1,0,43.807791,-14.219900,81.7,hst,16.1,37.3,
53.000,10,2,38,1,37,0,0,time,-5.06,3.64,0.00,46.00,1,0,42.845380,-6.672527,0.0,static,28.7,60.0,
53.000,24,38,2,37,1,0,0,time,-5.55,-17.97,0.00,1053.00,0,0,47.052547,-15.794589,1.2,pedestrian,34.5,11.7,LowSINR
55.000,4,3,14,2,13,0,0,time,-5.29,-17.45,0.00,1055.00,1,0,62.580253,26.725035,36.1,vehicular,30.5,11.0,
55.000,39,3,38,2,37,0,0,time,-5.02,-15.28,0.00,1055.00,1,0,61.657748,7.729151,0.0,static,40.7,12.1,
58.000,9,38,2,37,1,0,0,time,-14.34,-16.19,0.00,58.00,0,0,49.961199,19.638143,0.0,static,13.7,10.1,LowSINR
58.000,32,38,2,37,1,0,0,time,-5.19,-13.33,0.00,1058.00,1,0,51.172951,-12.213823,0.0,static,35.9,10.5,
59.000,9,38,2,37,1,0,0,time,-10.32,-16.16,0.00,59.00,0,0,49.961199,19.638143,0.0,static,13.6,10.1,LowSINR
60.000,9,38,2,37,1,0,0,time,-18.69,-14.12,0.00,60.00,0,0,49.961199,19.638143,0.0,static,13.6,10.2,LowSINR
60.000,44,3,38,2,37,0,0,time,-12.58,-8.74,0.00,46.00,0,0,55.296696,3.877947,82.0,hst,18.9,25.2,LowSINR
61.000,9,38,2,37,1,0,0,time,-16.85,-17.26,0.00,61.00,0,0,49.961199,19.638143,0.0,static,13.5,10.3,LowSINR
61.000,44,3,38,2,37,0,0,time,-12.46,-8.95,0.00,47.00,1,0,55.297405,3.878295,82.0,hst,18.8,25.1,
61.000,48,39,2,38,1,0,0,time,-100.00,-5.79,0.00,46.00,1,0,29.212292,10.203755,30.7,vehicular,0.0,29.5,
62.000,9,38,2,37,1,0,0,time,-17.29,-13.61,0.00,62.00,1,0,49.961199,19.638143,0.0,static,13.5,10.3,
62.000,33,38,2,37,1,0,0,time,-4.02,2.13,0.00,62.00,1,0,39.432590,-3.521291,0.0,static,45.6,47.0,
62.000,47,39,2,38,1,0,0,time,-13.08,-6.42,0.00,46.00,1,0,25.552801,7.578804,78.9,hst,15.6,23.6,
63.000,24,38,2,37,1,0,0,time,-5.16,-14.46,0.00,1063.00,0,0,47.052464,-15.794493,1.2,pedestrian,33.8,12.3,LowSINR
