time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
111.000,36,3,48,2,47,0,0,tte-aware,-10.40,-3.63,37.76,20.00,1,0,64.302462,33.600169,33.0,vehicular,24.7,24.6,
111.000,45,2,38,1,37,0,0,tte-aware,-100.00,-11.83,0.00,1111.00,0,0,31.677464,-18.552253,1.5,pedestrian,0.0,14.5,LowSINR
112.000,45,2,38,1,37,0,0,tte-aware,-100.00,-14.36,0.00,1112.00,1,0,31.677459,-18.552238,1.5,pedestrian,0.0,14.6,
114.000,1,3,37,2,36,0,0,tte-aware,-5.54,-2.98,50.03,1114.00,1,0,64.963583,-5.837723,2.3,pedestrian,31.2,28.5,
117.000,17,38,2,37,1,0,0,tte-aware,-6.85,-4.90,38.08,1117.00,1,0,51.116304,1.715085,32.8,vehicular,28.8,24.1,
121.000,18,38,2,37,1,0,0,tte-aware,-100.00,-19.88,0.00,1121.00,0,0,52.607283,18.867684,1.7,pedestrian,0.0,12.7,LowSINR
122.000,18,38,2,37,1,0,0,tte-aware,-100.00,-15.98,0.00,1122.00,0,0,52.607276,18.867706,1.7,pedestrian,0.0,12.8,LowSINR
123.000,7,2,38,1,37,0,0,tte-aware,-3.58,-0.44,49.21,29.00,1,0,32.902036,-2.622221,0.0,static,34.7,32.6,
123.000,18,38,2,37,1,0,0,tte-aware,-100.00,-15.41,0.00,1123.00,0,0,52.607269,18.867728,1.7,pedestrian,0.0,12.8,LowSINR
124.000,18,38,2,37,1,0,0,tte-aware,-100.00,-12.39,0.00,1124.00,1,0,52.607261,18.867751,1.7,pedestrian,0.0,12.9,
128.000,28,3,37,2,36,0,0,tte-aware,-5.76,-4.88,43.04,1128.00,1,0,63.706717,-3.300869,0.0,static,27.0,26.5,
129.000,16,2,38,1,37,0,0,tte-aware,-6.07,-1.70,43.34,20.00,1,0,46.600286,6.867612,27.6,vehicular,39.8,30.8,
129.000,21,3,37,2,36,0,0,tte-aware,-7.12,-3.79,36.96,1129.00,1,0,62.660356,2.873661,35.4,vehicular,26.6,21.7,
133.000,17,2,38,1,37,0,0,tte-aware,-6.03,-4.15,41.24,16.00,1,0,51.119605,1.720432,32.8,vehicular,26.7,26.1,
134.000,1,37,3,36,2,0,0,tte-aware,-6.97,-3.90,41.89,20.00,1,0,64.963924,-5.838255,2.3,pedestrian,32.5,28.0,
135.000,31,2,38,1,37,0,0,tte-aware,-2.23,1.09,58.46,54.00,1,0,42.111907,5.703147,0.5,pedestrian,66.0,39.2,
138.000,9,38,2,37,1,0,0,tte-aware,-100.00,-13.42,0.00,93.00,1,0,49.961199,19.638143,0.0,static,0.0,16.2,
139.000,27,2,38,1,37,0,0,tte-aware,-10.01,-4.31,37.30,1139.00,1,0,29.085409,-2.676930,0.0,static,21.3,23.7,
144.000,16,38,2,37,1,0,0,tte-aware,-8.81,1.78,55.99,15.00,1,0,46.596681,6.866320,27.6,vehicular,28.9,43.8,
146.000,19,3,48,2,47,0,0,tte-aware,-100.00,-17.03,0.00,1146.00,1,0,55.111534,32.880510,0.0,static,0.0,10.0,
146.000,28,37,3,36,2,0,0,tte-aware,-6.00,-3.13,43.24,18.00,1,0,63.706717,-3.300869,0.0,static,29.7,24.3,
147.000,15,2,38,1,37,0,0,tte-aware,-100.00,-10.87,0.00,1147.00,1,0,26.834154,-11.622594,20.6,vehicular,0.0,16.3,
148.000,2,3,48,2,47,0,0,tte-aware,-11.50,-4.80,37.27,1148.00,1,0,62.417300,30.782652,3.5,pedestrian,19.6,22.8,
149.000,1,3,37,2,36,0,0,tte-aware,-8.62,-3.35,53.70,15.00,1,0,64.964180,-5.838655,2.3,pedestrian,25.8,35.9,
149.000,17,38,2,37,1,0,0,tte-aware,-9.23,-2.97,48.75,16.00,1,0,51.122907,1.725780,32.8,vehicular,23.6,29.7,
149.000,21,37,3,36,2,0,0,tte-aware,-7.49,-4.01,37.82,20.00,1,0,62.658337,2.886806,35.4,vehicular,24.5,23.3,
150.000,4,3,48,2,47,0,0,tte-aware,-12.75,-2.74,32.65,1150.00,1,0,62.605938,26.761840,36.1,vehicular,21.4,21.3,
150.000,31,38,2,37,1,0,0,tte-aware,-3.66,3.78,81.76,15.00,1,0,42.111841,5.703169,0.5,pedestrian,38.2,69.0,
150.000,36,48,3,47,2,0,0,tte-aware,-7.03,-4.04,39.92,39.00,1,0,64.313673,33.606754,33.0,vehicular,29.5,22.2,
154.000,7,38,2,37,1,0,0,tte-aware,-5.18,-4.20,49.19,31.00,1,0,32.902036,-2.622221,0.0,static,40.1,28.9,
161.000,28,3,37,2,36,0,0,tte-aware,-12.03,-2.18,49.38,15.00,1,0,63.706717,-3.300869,0.0,static,22.2,32.8,
161.000,41,2,38,1,37,0,0,tte-aware,-15.21,-5.00,35.34,1161.00,1,0,28.816993,-10.266238,0.9,pedestrian,12.6,23.0,
165.000,36,3,48,2,47,0,0,tte-aware,-8.41,-2.40,44.18,15.00,1,0,64.317986,33.609287,33.0,vehicular,21.1,31.4,
166.000,44,38,2,37,1,0,0,tte-aware,-17.03,-4.77,36.98,101.00,1,0,55.371904,3.914963,82.0,hst,12.5,20.7,
169.000,7,2,38,1,37,0,0,tte-aware,-9.04,-1.36,58.15,15.00,1,0,32.902036,-2.622221,0.0,static,26.4,44.5,
173.000,21,3,37,2,36,0,0,tte-aware,-13.49,-3.73,42.00,24.00,1,0,62.655914,2.902578,35.4,vehicular,19.9,28.1,
