time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
76.000,33,1,0,2,62.21,25.00,28.00,1,location
76.000,36,47,0,48,38.12,22.00,25.00,1,location
77.000,0,2,0,3,34.66,22.00,25.00,0,location
77.000,16,1,0,2,42.82,22.00,25.00,1,location
77.000,33,37,0,38,68.67,28.00,31.00,1,location
78.000,16,37,0,38,52.04,25.00,28.00,1,location
79.000,36,2,0,3,38.15,22.00,25.00,0,location
80.000,0,2,0,3,44.29,22.00,25.00,1,location
81.000,0,47,0,48,35.55,22.00,25.00,0,location
81.000,36,2,0,3,47.15,22.00,25.00,0,location
82.000,0,47,0,48,34.13,22.00,25.00,0,location
82.000,16,1,0,2,42.60,22.00,25.00,1,location
83.000,1,36,0,37,41.34,22.00,25.00,1,location
83.000,16,37,0,38,51.02,25.00,28.00,1,location
84.000,1,2,0,3,47.82,25.00,28.00,1,location
84.000,33,1,0,2,68.61,28.00,31.00,1,location
85.000,0,47,0,48,42.25,22.00,25.00,1,location
85.000,16,1,0,2,45.81,25.00,28.00,1,location
87.000,0,2,0,3,38.43,22.00,25.00,0,location
87.000,36,2,0,3,39.54,22.00,25.00,0,location
88.000,33,37,0,38,64.67,28.00,31.00,1,location
88.000,36,2,0,3,39.06,22.00,25.00,0,location
89.000,0,2,0,3,36.80,22.00,25.00,0,location
89.000,36,2,0,3,38.83,22.00,25.00,0,location
90.000,36,2,0,3,40.52,22.00,25.00,0,location
91.000,0,2,0,3,38.91,22.00,25.00,0,location
91.000,36,2,0,3,50.82,22.00,25.00,0,location
93.000,0,2,0,3,44.09,22.00,25.00,1,location
95.000,36,2,0,3,42.31,22.00,25.00,0,location
97.000,0,47,0,48,48.18,22.00,25.00,0,location
97.000,28,36,0,37,37.54,22.00,25.00,0,location
98.000,0,47,0,48,45.45,22.00,25.00,0,location
98.000,33,1,0,2,66.43,28.00,31.00,1,location
98.000,36,2,0,3,45.35,22.00,25.00,0,location
99.000,0,47,0,48,41.88,22.00,25.00,0,location
99.000,17,1,0,2,28.85,22.00,25.00,0,location
99.000,34,37,0,38,35.32,22.00,25.00,0,location
100.000,33,37,0,38,73.33,28.00,31.00,1,location
100.000,34,37,0,38,35.18,22.00,25.00,0,location
100.000,36,2,0,3,43.10,22.00,25.00,0,location
101.000,0,47,0,48,37.30,22.00,25.00,1,location
102.000,34,37,0,38,35.66,22.00,25.00,0,location
102.000,36,2,0,3,43.97,22.00,25.00,0,location
103.000,0,2,0,3,40.51,22.00,25.00,0,location
103.000,36,2,0,3,43.16,22.00,25.00,1,location
105.000,16,37,0,38,46.19,25.00,28.00,1,location
105.000,33,1,0,2,70.00,28.00,31.00,1,location
106.000,7,37,0,38,47.41,22.00,25.00,1,location
106.000,17,1,0,2,33.20,22.00,25.00,0,location
106.000,34,37,0,38,39.53,22.00,25.00,0,location
107.000,7,1,0,2,55.00,25.00,28.00,1,location
107.000,16,1,0,2,48.34,25.00,28.00,1,location
108.000,7,37,0,38,40.82,22.00,25.00,0,location
108.000,36,47,0,48,43.67,22.00,25.00,0,location
109.000,0,2,0,3,39.79,22.00,25.00,0,location
109.000,33,37,0,38,82.81,28.00,31.00,1,location
109.000,36,47,0,48,39.97,22.00,25.00,0,location
110.000,36,47,0,48,33.59,22.00,25.00,0,location
111.000,0,2,0,3,42.19,22.00,25.00,0,location
111.000,33,1,0,2,71.07,28.00,31.00,1,location
111.000,36,47,0,48,35.61,22.00,25.00,0,location
