time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
77.000,33,2,38,1,37,0,0,location,1.31,6.35,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,49.5,50.7,
78.000,16,2,38,1,37,0,0,location,-4.90,1.51,0.00,1.00,1,1,46.612542,6.872004,27.6,vehicular,28.8,36.1,
80.000,0,48,3,47,2,0,0,location,-5.92,-3.56,0.00,8.00,1,1,64.887392,35.953442,0.0,static,22.9,24.9,
82.000,16,38,2,37,1,0,0,location,-5.14,-3.05,0.00,4.00,1,1,46.611581,6.871660,27.6,vehicular,35.8,29.5,
83.000,1,3,37,2,36,0,0,location,-5.39,-4.96,0.00,1083.00,1,0,64.963054,-5.836898,2.3,pedestrian,36.3,23.2,
83.000,16,2,38,1,37,0,0,location,-7.72,-0.95,0.00,1.00,1,1,46.611341,6.871574,27.6,vehicular,29.7,35.7,
84.000,1,37,3,36,2,0,0,location,-8.71,1.65,0.00,1.00,1,1,64.963071,-5.836924,2.3,pedestrian,23.4,36.2,
84.000,33,38,2,37,1,0,0,location,2.17,5.97,0.00,7.00,1,1,39.432590,-3.521291,0.0,static,53.3,50.5,
85.000,0,3,48,2,47,0,0,location,-7.52,-4.61,0.00,5.00,1,1,64.887392,35.953442,0.0,static,24.8,23.5,
85.000,16,38,2,37,1,0,0,location,-8.32,-4.78,0.00,2.00,1,1,46.610860,6.871401,27.6,vehicular,35.5,30.1,
88.000,33,2,38,1,37,0,0,location,0.20,5.22,0.00,4.00,1,1,39.432590,-3.521291,0.0,static,51.0,54.8,
93.000,0,48,3,47,2,0,0,location,-8.74,-4.74,0.00,8.00,1,1,64.887392,35.953442,0.0,static,24.6,24.6,
98.000,33,38,2,37,1,0,0,location,1.03,4.15,0.00,10.00,1,0,39.432590,-3.521291,0.0,static,58.9,52.0,
100.000,33,2,38,1,37,0,0,location,-0.03,5.27,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,52.1,59.8,
101.000,0,3,48,2,47,0,0,location,-7.76,-4.73,0.00,8.00,1,1,64.887392,35.953442,0.0,static,24.4,25.6,
103.000,36,48,3,47,2,0,0,location,-9.66,-4.93,0.00,27.00,1,0,64.300162,33.598818,33.0,vehicular,23.7,25.1,
105.000,16,2,38,1,37,0,0,location,-5.20,-1.87,0.00,20.00,1,0,46.606054,6.869679,27.6,vehicular,34.2,33.6,
105.000,33,38,2,37,1,0,0,location,4.18,7.87,0.00,5.00,1,1,39.432590,-3.521291,0.0,static,62.0,52.4,
106.000,7,2,38,1,37,0,0,location,-5.09,-3.17,0.00,1106.00,1,0,32.902036,-2.622221,0.0,static,38.3,29.1,
107.000,7,38,2,37,1,0,0,location,-8.39,-2.80,0.00,1.00,1,1,32.902036,-2.622221,0.0,static,29.3,38.1,
107.000,16,38,2,37,1,0,0,location,-1.56,1.82,0.00,2.00,1,1,46.605573,6.869506,27.6,vehicular,33.3,34.6,
109.000,33,2,38,1,37,0,0,location,2.84,6.93,0.00,4.00,1,1,39.432590,-3.521291,0.0,static,52.5,63.8,
111.000,33,38,2,37,1,0,0,location,1.47,5.03,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,64.7,52.6,
113.000,33,2,38,1,37,0,0,location,1.90,5.52,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,52.6,65.6,
117.000,0,48,3,47,2,0,0,location,-7.56,-3.30,0.00,16.00,1,0,64.887392,35.953442,0.0,static,27.9,23.9,
117.000,17,38,2,37,1,0,0,location,-8.75,-2.48,0.00,1117.00,1,0,51.116304,1.715085,32.8,vehicular,28.8,24.1,
117.000,28,3,37,2,36,0,0,location,-5.52,-3.50,0.00,1117.00,1,0,63.706717,-3.300869,0.0,static,28.8,24.7,
117.000,33,38,2,37,1,0,0,location,1.04,7.28,0.00,4.00,1,1,39.432590,-3.521291,0.0,static,67.5,52.6,
118.000,21,3,37,2,36,0,0,location,-9.05,-3.29,0.00,1118.00,1,0,62.661466,2.866431,35.4,vehicular,28.6,20.3,
119.000,0,3,48,2,47,0,0,location,-10.31,-4.71,0.00,2.00,1,1,64.887392,35.953442,0.0,static,23.8,28.2,
119.000,28,37,3,36,2,0,0,location,-8.35,-3.89,0.00,2.00,1,1,63.706717,-3.300869,0.0,static,25.0,28.5,
119.000,33,2,38,1,37,0,0,location,1.92,5.06,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,52.5,68.5,
120.000,34,2,38,1,37,0,0,location,-12.54,-4.82,0.00,1120.00,1,0,31.169759,-10.278391,79.9,hst,19.2,23.1,
121.000,2,3,48,2,47,0,0,location,-6.81,-4.55,0.00,1121.00,1,0,62.418072,30.781928,3.5,pedestrian,21.8,20.3,
121.000,28,3,37,2,36,0,0,location,-7.36,-3.96,0.00,2.00,1,1,63.706717,-3.300869,0.0,static,28.2,25.3,
122.000,28,37,3,36,2,0,0,location,-6.61,-2.43,0.00,1.00,1,1,63.706717,-3.300869,0.0,static,25.5,28.0,
123.000,1,3,37,2,36,0,0,location,-8.48,-2.66,0.00,39.00,1,0,64.963736,-5.837962,2.3,pedestrian,29.7,30.2,
126.000,7,2,38,1,37,0,0,location,-2.51,1.38,0.00,19.00,1,0,32.902036,-2.622221,0.0,static,34.1,33.2,
126.000,36,3,48,2,47,0,0,location,-9.63,-4.90,0.00,23.00,1,0,64.306774,33.602701,33.0,vehicular,23.8,26.5,
128.000,17,2,38,1,37,0,0,location,-6.22,-4.60,0.00,11.00,1,0,51.118574,1.718761,32.8,vehicular,25.9,27.0,
129.000,36,48,3,47,2,0,0,location,-7.58,-4.25,0.00,3.00,1,1,64.307637,33.603208,33.0,vehicular,26.9,23.6,
131.000,17,38,2,37,1,0,0,location,-6.87,-4.33,0.00,3.00,1,1,51.119193,1.719764,32.8,vehicular,26.5,26.4,
133.000,0,48,3,47,2,0,0,location,-6.62,-4.69,0.00,14.00,1,0,64.887392,35.953442,0.0,static,30.2,23.1,
133.000,26,38,2,37,1,0,0,location,-5.23,-4.01,0.00,1133.00,1,0,45.754510,-9.665332,1.2,pedestrian,42.7,27.6,
133.000,27,2,38,1,37,0,0,location,-7.90,-3.01,0.00,1133.00,1,0,29.085409,-2.676930,0.0,static,22.1,22.8,
133.000,28,3,37,2,36,0,0,location,-6.62,-4.68,0.00,11.00,1,0,63.706717,-3.300869,0.0,static,26.2,27.4,
134.000,0,3,48,2,47,0,0,location,-11.17,-1.22,0.00,1.00,1,1,64.887392,35.953442,0.0,static,23.1,30.4,
134.000,26,2,38,1,37,0,0,location,-8.90,-0.29,0.00,1.00,1,1,45.754511,-9.665348,1.2,pedestrian,27.6,42.4,
138.000,36,3,48,2,47,0,0,location,-10.71,-3.33,0.00,9.00,1,1,64.310224,33.604727,33.0,vehicular,23.0,28.0,
139.000,4,3,48,2,47,0,0,location,-8.65,-4.47,0.00,1139.00,1,0,62.602964,26.757577,36.1,vehicular,22.5,20.5,
139.000,36,48,3,47,2,0,0,location,-5.93,-3.47,0.00,1.00,1,1,64.310511,33.604896,33.0,vehicular,28.1,23.0,
143.000,21,37,3,36,2,0,0,location,-9.80,-4.14,0.00,25.00,1,0,62.658942,2.882862,35.4,vehicular,23.6,24.3,
144.000,17,2,38,1,37,0,0,location,-9.21,-4.66,0.00,13.00,1,0,51.121875,1.724109,32.8,vehicular,28.7,24.4,
144.000,36,3,48,2,47,0,0,location,-8.86,-4.89,0.00,5.00,1,1,64.311949,33.605741,33.0,vehicular,22.6,28.7,
149.000,17,38,2,37,1,0,0,location,-8.12,-2.35,0.00,5.00,1,1,51.122907,1.725780,32.8,vehicular,23.6,29.7,
149.000,41,2,38,1,37,0,0,location,-13.34,-3.03,0.00,1149.00,1,0,28.816976,-10.266344,0.9,pedestrian,13.5,21.5,
151.000,0,48,3,47,2,0,0,location,-5.33,-3.13,0.00,17.00,1,0,64.887392,35.953442,0.0,static,32.9,22.1,
151.000,36,48,3,47,2,0,0,location,-7.84,-4.89,0.00,7.00,1,1,64.313961,33.606923,33.0,vehicular,29.6,22.1,
152.000,0,3,48,2,47,0,0,location,-6.26,-2.13,0.00,1.00,1,1,64.887392,35.953442,0.0,static,22.1,33.1,
153.000,36,3,48,2,47,0,0,location,-6.71,-3.23,0.00,2.00,1,1,64.314536,33.607261,33.0,vehicular,22.0,29.9,
155.000,39,3,37,2,36,0,0,location,-6.76,-4.74,0.00,1155.00,1,0,61.657748,7.729151,0.0,static,20.9,20.5,
158.000,39,37,3,36,2,0,0,location,-6.08,-4.69,0.00,3.00,1,1,61.657748,7.729151,0.0,static,20.9,20.5,
162.000,35,38,2,37,1,0,0,location,-10.41,-4.33,0.00,1162.00,1,0,54.638222,-2.079185,0.0,static,15.5,21.0,
164.000,26,38,2,37,1,0,0,location,-5.92,-0.40,0.00,30.00,1,0,45.754519,-9.665803,1.2,pedestrian,35.8,30.3,
167.000,26,2,38,1,37,0,0,location,-8.85,-1.88,0.00,3.00,1,1,45.754519,-9.665848,1.2,pedestrian,30.6,35.2,
168.000,44,38,2,37,1,0,0,location,-16.46,-4.93,0.00,97.00,1,0,55.373323,3.915662,82.0,hst,12.3,21.0,
175.000,21,3,37,2,36,0,0,location,-6.73,-4.74,0.00,32.00,1,0,62.655712,2.903893,35.4,vehicular,19.7,28.4,
177.000,26,38,2,37,1,0,0,location,-5.50,-1.14,0.00,10.00,1,0,45.754522,-9.666000,1.2,pedestrian,33.2,31.3,
182.000,25,38,2,37,1,0,0,location,-0.54,3.22,0.00,1182.00,1,0,43.610304,-6.161507,24.2,vehicular,45.7,42.7,
185.000,26,2,38,1,37,0,0,location,-7.51,-0.65,0.00,8.00,1,1,45.754524,-9.666122,1.2,pedestrian,31.7,31.6,
